XBS,z,logWHb,E_logWHb,e_logWHb,logWMg,E_logWMg,e_logWMg,logL51,E_logL51,e_logL51,logL30,E_logL30,e_logL30,logMHb,E_logMHb,e_logMHb,logMMg,E_logMMg,e_logMMg,logMb,E_logMb,e_logMb,logM,logdM/dt,E_logdM/dt,e_logdM/dt,logLed,E_logLed,e_logLed,logLedc,_RA,_DE
J124914.6-060910,1.627,     ,0,0,3.75,0.025,0.027,45.74,0.08,0.09,45.97,0.08,0.1,     ,     ,     ,9.46,0.06,0.07,9.46,0.06,0.07,9.75,0.83,0.07,0.09,-0.99,0.09,0.11,-1.29,192.31083,-6.15263
J124949.4-060722,1.053,     ,0,0,3.42,0.017,0.017,45.35,0.08,0.1,45.55,0.08,0.1,     ,     ,     ,8.53,0.05,0.06,8.53,0.05,0.06,9.1,0.34,0.06,0.08,-0.55,0.08,0.1,-1.12,192.45597,-6.123
J130619.7-233857,0.351,3.86,0.035,0.033,     ,0,0,44.49,0.15,0.15,44.72,0.15,0.15,8.87,0.11,0.1,     ,     ,     ,8.87,0.11,0.1,8.96,-0.39,0.12,0.12,-1.62,0.16,0.16,-1.71,196.58175,-23.64972
J130658.1-234849,0.375,3.63,0.039,0.038,     ,0,0,44.44,0.17,0.23,44.57,0.17,0.22,8.39,0.12,0.13,     ,     ,     ,8.39,0.12,0.13,8.51,-0.73,0.15,0.17,-1.48,0.19,0.21,-1.6,196.74167,-23.81278
J132038.0+341124,0.065,3.56,0.042,0.041,     ,0,0,43.41,0.12,0.09,43.55,0.11,0.1,7.73,0.1,0.08,     ,     ,     ,7.73,0.1,0.08,7.78,-1.77,0.09,0.08,-1.86,0.13,0.11,-1.91,200.15788,34.19051
J132101.6+340656,0.335,3.75,0.028,0.03,3.87,0.059,0.113,44.17,0.08,0.1,44.43,0.08,0.09,8.49,0.07,0.08,8.75,0.12,0.23,8.49,0.07,0.08,8.68,-0.39,0.06,0.09,-1.24,0.09,0.12,-1.43,200.25589,34.11609
J133807.5+242411,0.631,3.36,0.023,0.024,3.65,0.01,0.01,45.24,0.08,0.09,45.44,0.08,0.1,8.24,0.06,0.06,8.93,0.04,0.06,8.93,0.04,0.06,9.17,0.18,0.07,0.09,-1.11,0.08,0.11,-1.35,204.53137,24.40292
J134749.9+582111,0.646,3.94,0.03,0.028,3.81,0.004,0.004,45.74,0.08,0.1,45.96,0.08,0.09,9.65,0.07,0.07,9.58,0.04,0.05,9.65,0.07,0.07,9.87,0.84,0.06,0.08,-1.17,0.09,0.11,-1.39,206.95771,58.35263
J140102.0-111224,0.037,3.58,0.489,0.418,     ,0,0,43.26,0.09,0.11,43.16,0.09,0.11,7.71,0.96,0.82,     ,     ,     ,7.71,0.96,0.82,7.74,-2.06,0.07,0.09,-2.13,0.96,0.82,-2.16,210.25755,-11.20636
J140113.4+024016,0.631,3.54,0.22,0.111,3.66,0.038,0.011,43.58,0.12,0.15,43.85,0.11,0.16,7.77,0.44,0.22,7.97,0.09,0.08,7.77,0.44,0.22,8.08,-0.82,0.07,0.09,-0.95,0.45,0.24,-1.27,210.30542,2.67167
